1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,Year
10.0,Hungary,0.14,0.53,0.19,1.41,0.33,0.14,0.89,1.08,0.47,0.17,0.31,0.13,0.15,0.27,1.89,0.26,0.13,0.14,0.13,0.14,0.27,-4.59,0.52,6.24,-0.01,0.3,2.15,1.86,0,1.12,8.71,0.54,0,1.25,0.13,9.26,1.37,0.17,0.16,1.22,0.46,1.32,1.52,327846,0.3,0.15,71.43,18.38,2.37,3.04,0.17,,,0,0,0,0,0,,0,0,,,,,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,,1.0,2017
22.0,Poland,0.01,0.5,0.07,1.4,0.06,0.03,1.01,0.65,0.5,0.02,0.18,0.05,0.03,0.07,2.01,0.04,0.05,0.02,0.02,0.44,0.02,2.6,0.1,6.28,0.65,0.04,3.48,1.28,0,0.66,0.74,0.82,0,0.67,0.03,0.51,1.27,0.1,0.16,0.51,0.18,0.67,1.1,138179.7,0.02,0.63,29.12,5.93,3.56,0.87,0.08,,,0,0,0,0,0,0,0,0,0,0.03,0.01,0,740.13,11412.92,3674.22,17281.89,371.62,498.88,1,1,1,1,1,4.11,1,1,1,,1,1.0,2017
27.0,Hungary,0.03,0.74,0.01,1.02,0,0.03,0.35,0.93,0.26,0.04,0.1,0.03,0.04,0.04,1.35,0.05,0.03,0.04,0.03,0.26,0.03,-7.44,0.01,5.91,0.71,0.14,2.75,1.22,0,0.94,0.8,0.67,0,0.46,0.04,4.55,1,0.11,0.12,0.45,0.33,0.39,1.01,4917.13,0.1,1.6,166.83,5.25,2.82,1.4,0,,,0,0,0,0,0,,0,0,0,0.04,0.02,0,1526.62,12285.44,3438.14,10635.15,393.19,591.96,1,1,1,1,1,6.07,1,1,1,,,1.0,2017
73.0,Poland,0,0.58,0.15,1.29,0.22,0.01,0.72,0.85,0.42,0.01,0.02,0.01,0,0.02,1.72,0.01,0.01,0,0,0.19,0,0.61,0.48,5.16,0.41,0.01,1.62,1.48,0,0.86,12.39,0.47,0,0.46,0,0.01,1.18,0.02,0.02,1.17,0.53,1.32,1.48,21916.53,0,0.12,15.35,2.23,1.6,2.7,0.11,,,0,0,0,0,0,0,0,0,0,0.01,0,0,669.98,24352.05,13271.16,92792.68,279.35,884.69,1,1,1,1,1,-0.03,1,1,1,,1,1.0,2017
74.0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2017
100.0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2017
139.0,Poland,0.01,0.61,0.14,1.24,0,0.06,0.63,3.56,0.39,0.04,0.09,0.02,0.01,0.09,1.63,0.05,0.02,0.03,0,0.39,0.02,1.72,0.55,4.16,0.17,0.08,5.93,5.76,0.41,3.56,40.76,0.4,0.12,0.13,0.01,0.36,1.18,0,0,1.21,0.6,1.49,1.55,2102,0.04,0.04,90.73,5.72,5.97,13.72,0.03,-0.51,0,-0.03,-0.01,-0.05,-1.61,-0.05,1.31,-0.04,-0.9,0,0.01,0,0,740.52,5106.96,,9298.19,286.23,1102.24,1,1,1,1,1,5.95,1,1,1,1,1,1.0,2017
142.0,Czech Republic,0.13,0.14,0.13,3.76,0.41,0.13,6.02,0.16,0.86,0.14,2.86,0.84,0.61,0.94,7.02,0.86,0.84,0.12,0.8,0.45,0.89,-15.77,0.16,5.32,0.64,0.14,4.47,1.46,0.07,0.33,1.62,0.95,0.42,1.6,0.77,6.38,3.33,0.14,0.88,1.23,0.05,1.04,1.16,26891,0.15,0.11,7.95,1.96,3.4,0.19,0.55,,,0,0,0,0,0,,0,0,0.02,0.02,1.05,0,480.04,3089.22,2970.43,3366.24,411.7,499.09,1,1,1,1,1,,1,1,1,,,1.0,2017
175.0,Poland,0.02,0.53,0.05,1.14,0.02,0.04,0.89,1.41,0.47,0.04,0.11,0.03,0.02,0.08,1.89,0.05,0.03,0.03,0.01,0.45,0.04,4.62,0.1,4.36,0.38,0.06,3.74,2.72,1.41,1.47,2.22,0.61,1,0.04,0.02,0.17,0.83,0.1,0.07,0.83,0.39,0.84,1.1,1242,0.04,0.31,11.74,4.61,3.65,2.51,-0.05,0.48,0,0.04,0.03,0.08,0.29,0.11,-164.3,0.09,1.46,0,0.01,0,0,839.49,9563.52,3861.41,13906.04,395.3,704.97,1,1,1,1,1,2.39,1,1,1,1,1,1.0,2017
217.0,Poland,0.04,0.55,0.23,2.05,0.04,0.05,0.83,0.85,0.45,0.07,0.22,0.06,0.08,0.09,1.83,0.11,0.06,0.06,0.05,0.42,0.07,-2.89,0.43,4.85,0.58,0.14,3.61,1.48,0,0.87,1.43,0.78,0,1.15,0.07,59.14,2.05,0.1,0.12,0.84,0.22,0.84,1.43,16493.84,0.09,0.71,1275.11,4.25,3.8,1.57,0.29,,,0,0,0,0,0,0,0,0,0,0,0,0,1037.43,9499.87,4777.31,7671.15,471.84,871.93,1,1,1,1,1,3.87,1,1,1,,1,1.0,2017
257.0,Hungary,0.06,0.2,-0.15,0.25,0.06,0.06,4.1,0.08,0.8,0.07,0.32,0.76,0.98,0.32,5.1,0.21,0.76,0.04,0.69,0.75,0.29,-11.8,-0.15,5.19,2.06,0.05,0.23,0.23,0,0.09,,0.8,0,0.21,0.49,,0.25,0.05,0.61,0.25,0.2,0.85,0.85,-23010,0.07,0,,10.51,0.42,0.09,-6.2,,,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,1,1,,,1,1,,,1.0,2017
270.0,Poland,0.01,0.62,0.04,1.09,0.01,0.05,0.61,1.39,0.38,0.03,0.12,0.04,0.02,0.09,1.61,0.05,0.04,0.03,0.01,0.37,0.02,1.62,0.08,3.89,0.45,0.09,3.11,2.2,1.39,1.4,2.63,0.56,1,0.05,0.02,,1.09,0.04,0.03,0.77,0.44,0.75,1.11,304,0.02,0.48,,3.03,3.17,2.74,0.03,-0.32,0,-0.03,-0.02,-0.05,-0.16,-0.07,22.21,-0.06,-0.91,0,0,0,0,408.22,2823.44,3464.95,4784.24,154.65,305.31,1,1,1,1,1,2.92,,1,1,1,1,1.0,2017
276.0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2017
290.0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2017
366.0,Poland,0.02,0.61,0.13,1.36,0.02,0.05,0.64,0.39,0.39,0.04,0.15,0.24,0.08,0.15,1.64,0.06,0.14,0.04,0.05,0.37,0.1,2.25,0.25,3.55,1.07,0.1,1.21,0.71,0.39,0.47,1.92,0.64,1,0.78,0.1,,1.36,0.08,0.2,0.8,0.36,0.76,1.25,457,0.05,0.65,,1.86,1.09,0.76,0.34,0.09,0.16,0.24,0.62,0.39,0.94,0.67,-31.04,0.49,6.35,0,0,0,0,494.18,3521.57,2534.08,5086.07,191.96,374.23,1,1,1,1,1,0.62,,1,1,1,1,1.0,2017
